gepid	szoftverid	verzio	datum
74	56	ver2.0.0.372	
8	85	ver0.5.4	2013.05.16
16	36	ver1.2.8.12	2016.05.01
23	90	ver5.0.268.0	2016.08.24
21	64	ver41.0.2353.56	
71	29	ver1.4.20	2016.04.25
73	70	ver5.1.50901.0	2016.10.13
51	53	ver9.5.5	2013.10.11
12	39	ver0.67	2016.03.20
28	64	ver41.0.2353.69	
11	48	ver1.32.4066.7445	2016.12.09
31	28	ver7.2.2	
32	14	ver2.14.0	2016.11.04
4	60	ver0.91	2016.11.23
31	101	ver15.4.22	
22	7	ver2.2.4	2015.05.28
15	28	ver7.2.2	
46	46	ver23.0.0.207	
76	57	ver5.1.2.2	2016.04.25
29	20	ver2.67a	
73	14	ver2.14.0	2015.02.16
23	46	ver23.0.0.207	
67	48	ver1.32.3889.0961	2016.11.22
32	94		
43	19	ver4.42	
71	102	ver16.02	
13	28	ver7.2.2	
63	39	ver0.67	2016.11.23
34	64	ver12.16.1860	
68	58	ver16.4.3528.0331	2016.09.05
6	9	ver5.24	
8	57	ver5.1.2.2	2016.04.11
62	46	ver23.0.0.205	
16	88	ver2.2.4	
16	48	ver1.32.4066.7445	2016.12.09
59	64	ver41.0.2353.69	
32	56	ver2.0.0.372	
11	57	ver5.2.2.2	2016.11.03
38	97	ver2.8.18	2016.11.23
55	9	ver5.24	
76	65	ver4.9.9.2	
16	102	ver16.04.00.0	2016.11.03
44	36	ver1.2.6.7	2015.06.24
8	74	ver4.0.9	2016.03.21
43	34	ver8.0.1120.15	2016.11.07
33	102	ver16.02	
44	28	ver7.2.2	
76	46	ver23.0.0.207	
54	78	ver3.2.2	
43	57	ver5.1.2.2	2016.04.11
30	1	ver24.0.0.180	2016.12.14
31	30	ver2.1.2	2016.03.21
67	9	ver5.24	
10	68	ver8.0.2.805	2016.10.10
12	49	ver7.1.7.2606	2016.11.05
21	44	ver1.0.0	
44	22	ver4.5.5.5666	2015.06.24
64	68	ver7.2.8.1124	2016.01.15
39	17	ver1.22	
12	68	ver8.0.2.805	2016.08.19
20	12	ver15.020.20042	2016.11.03
34	49	ver7.1.7.2606	2016.10.31
22	12	ver15.020.20042	2016.11.05
9	30	ver2.1.2	2016.03.22
32	91	ver2.2.2	2016.11.04
24	103	ver12.3.5	2016.08.24
25	12	ver15.020.20042	2016.11.24
11	94		
4	1	ver24.0.0.180	2016.12.14
43	85	ver0.5.3	2012.06.24
11	25	ver12.0.6612.1000	2016.11.24
6	34	ver8.0.1120.15	2016.11.07
57	70	ver5.1.50709.0	2016.12.09
45	88	ver2.2.4	
13	5	ver0.53.00.00	2015.06.25
11	49	ver7.1.7.2606	2016.11.04
76	1	ver23.0.0.257	2016.09.16
67	64	ver12.16.1860	
48	12	ver15.020.20042	2016.11.07
14	102	ver16.04	
41	14	ver2.14.0	2014.11.24
5	21	ver18.0.0.375	
49	34	ver8.0.1110.14	2016.12.07
45	42	ver2.4.1	2016.12.02
35	75	ver5.9.2	2016.09.20
60	103	ver12.6.0	2016.11.23
54	54	ver1.5.4	
41	103	ver12.3.5	2016.08.20
38	9	ver5.25	
36	84	ver10.7.144.0	2012.02.17
70	68	ver8.1.0.1013	2016.11.05
6	63	ver50.1.0	
63	48	ver1.32.4066.7445	2016.12.13
23	48	ver1.32.3889.0961	2016.11.22
43	42	ver2.4.0	2016.11.07
24	85	ver0.5.3	2012.05.16
14	49	ver7.1.7.2606	2016.11.06
33	28	ver7.2.2	
15	89	ver3.23.0.2	
29	28	ver7.2	
28	48	ver1.32.3889.0961	2016.11.22
14	12	ver15.020.20039	2016.10.21
71	5	ver0.53.00.00	2013.04.09
68	38	ver4	2011.11.15
15	81	ver2.36	2016.08.19
15	102	ver16.02	
70	75	ver5.9.3	2016.12.05
70	48	ver1.32.3889.0961	2016.12.05
24	83	ver3.9.141.259	
51	55	ver16.4.3528.0331	2016.09.01
54	5	ver0.53.00.00	2012.09.02
46	68	ver6.2.1.618	2014.09.03
56	67	ver12.2.5.195	
34	102	ver16.04.00.0	2016.10.31
25	48	ver1.32.3889.0961	2016.11.23
60	68	ver8.1.1.1115	2016.11.23
73	68	ver8.0.2.805	2016.08.20
67	36	ver1.2.4.10	2015.02.14
44	87	ver55.0.2883.87	2016.12.13
5	63	ver50.0.2	
57	73		
39	25	ver12.0.6612.1000	2016.04.13
63	88	ver2.2.4	
24	7	ver2.2.1	
32	46	ver23.0.0.207	
76	5	ver0.53.00.00	2013.05.16
33	81	ver2.36	2016.08.21
34	19	ver4.42	
30	88	ver2.2.4	
32	64	ver41.0.2353.69	
62	12	ver15.020.20039	2016.10.21
56	88	ver2.2.4	
18	63	ver50.0.2	
25	87	ver54.0.2840.99	2016.11.23
10	46	ver23.0.0.207	
4	103	ver12.6.0	2016.11.23
39	49	ver7.1.7.2606	2016.10.28
5	68	ver5.1.3.1201	2012.05.18
16	5		
67	70	ver5.1.50901.0	2016.10.12
38	78	ver3.3.1	2016.11.24
62	17	ver1.22	
51	63	ver50.1.0	
51	70	ver5.1.50901.0	2016.10.12
62	19	ver4.42	
21	20	ver2.67a	
21	89	ver3.22.2.2	
44	34	ver8.0.1120.15	2016.11.07
54	66	ver8.0	
54	76	ver3.0	
76	21	ver23.0.0.207	
74	63	ver50.1.0	
11	54	ver1.5.4	
24	9	ver5.23	
32	17	ver1.28	
20	44	ver1.0.0	
34	88	ver2.2.4	
11	88	ver2.2.4	
35	81	ver2.35	2016.04.03
1	58	ver15.4.3502.0922	2011.11.15
4	102	ver16.04	
58	75	ver5.9.3	2016.12.05
12	28	ver7.2.2	
4	46	ver24.0.0.186	
16	30	ver2.1.2	2016.05.01
17	88	ver2.2.4	
35	1	ver23.0.0.257	2016.09.14
39	85	ver0.5.4	2012.09.02
66	102	ver15.14	
6	88	ver2.2.4	
58	1	ver23.0.0.257	2016.09.16
28	81	ver2.36	2016.08.19
22	34	ver8.0.1120.15	2016.11.02
55	74	ver4.0.9	2016.01.17
70	36	ver1.1.7.17	2014.02.23
29	1	ver23.0.0.257	2016.10.10
76	102	ver16.04.00.0	2016.11.06
23	78	ver3.2.2	
62	1	ver23.0.0.257	2016.09.21
54	36	ver1.2.8.12	2016.03.29
1	55	ver15.4.3508.1109	
72	88	ver2.2.4	
28	68	ver8.0.2.805	2016.08.19
17	2	ver5.1	
25	29	ver1.4.20	2016.11.24
70	83	ver3.9.141.259	
20	63	ver50.1.0	
13	60	ver0.91	2015.06.25
43	97	ver2.8.18	2016.08.01
73	75	ver5.9.2	2016.09.29
50	56	ver2.0.0.372	
76	70	ver5.1.41212.0	2016.01.15
68	82	ver15.4.3502.0922	2011.07.21
24	12	ver15.020.20042	2016.11.07
54	83	ver3.9.141.259	
62	68	ver8.1.0.1013	2016.11.06
20	30	ver2.1.2	2016.03.31
40	81	ver2.36	2016.05.03
24	14	ver2.14.0	2013.08.27
61	81	ver2.38	2016.11.05
39	64	ver42.0.2393.85	
55	103	ver12.0.5	2016.04.11
31	91	ver0.6.2	2012.11.02
58	14	ver2.14.0	2015.02.14
44	19	ver4.42	
22	30	ver2.1.0	2015.03.30
32	7	ver3.0.20.0	2016.11.04
14	60	ver0.91	2015.02.15
12	83	ver3.9.141.259	
8	86	ver2.5.8.0	2014.08.23
41	9	ver5.24	
70	30	ver2.0.5	2014.02.23
58	28	ver7.2.2	
39	87	ver55.0.2883.87	2016.12.13
26	102	ver9.10	
71	103	ver12.3.5	2016.08.19
4	64	ver42.0.2393.85	
54	22	ver4.5.7.6452	2016.12.12
32	78	ver3.3.1	2016.11.04
14	23	ver1.7.0.210	2013.05.16
21	46	ver23.0.0.207	
43	9	ver5.24	
13	23	ver8.0.450.14	2015.06.25
44	29	ver1.4.20	2016.04.25
68	44	ver1.0.0	
33	85	ver0.5.7	2013.12.09
68	55	ver15.4.3502.0922	2011.07.21
61	74	ver4.0.12	2016.11.05
39	57	ver5.1.2.2	2016.04.25
40	44	ver1.0.0	
47	44	ver1.0.0	
45	60	ver0.91	2015.06.25
24	39	ver0.67	2016.04.27
40	30	ver2.1.2	2016.05.03
54	29	ver1.4.20	2016.08.20
47	60	ver0.91	2015.02.05
4	42	ver2.4.1	2016.11.23
29	83	ver3.9.141.259	
35	68	ver7.3.4.311	2016.04.03
58	74	ver4.0.10	2016.09.02
11	19	ver4.42	
31	102	ver16.02	
43	86	ver2.5.8.0	2015.02.03
74	2	ver4.9	
47	5		
36	55	ver16.4.3528.0331	2016.09.05
24	89	ver3.23.0.2	
50	67	ver12.2.5.195	
45	39	ver0.67	2016.04.12
63	89	ver3.22.2.2	
65	63	ver48.0.2	
36	104	ver1.2.57	2012.03.02
62	75	ver5.9.2	2016.09.21
15	30	ver2.1.2	2016.04.24
9	99	ver1.3.11	2014.10.28
60	24	ver23.0.0.207	
61	89	ver3.22.2.2	
41	64	ver41.0.2353.69	
54	88	ver2.2.4	
2	88	ver2.2.4	
39	80	ver2.0.2	2012.09.02
39	73		
11	29	ver1.4.20	2016.11.03
13	67	ver12.2.5.195	
56	78	ver3.3.1	2016.11.24
24	49	ver7.1.7.2606	2016.11.07
23	14	ver2.14.0	2013.09.03
24	63	ver50.1.0	
15	86	ver2.5.8.0	2014.02.07
30	92	ver2.58.1058	
12	63	ver50.0.2	
11	17	ver1.28	
50	63	ver50.0.2	
20	36	ver1.2.6.7	2015.08.10
57	38	ver4	2011.11.15
53	39	ver0.67	2016.04.03
65	30	ver2.1.2	2016.09.08
58	29	ver1.4.20	2016.09.02
73	96		2014.02.07
23	83	ver3.9.141.259	
12	81	ver2.36	2016.05.03
40	19	ver4.42	
13	88	ver2.2.4	
16	87	ver55.0.2883.87	2016.12.13
2	34	ver8.0.1120.15	2016.11.10
41	70	ver5.1.50901.0	2016.10.12
61	1	ver23.0.0.257	2016.11.05
36	34	ver7.0.800	2016.09.23
47	28	ver7.2.2	
23	103	ver12.3.5	2016.08.24
53	89	ver3.16.1	
35	28	ver7.2.2	
29	30	ver2.1.2	2016.04.13
22	36	ver1.1.9.13	2014.08.08
44	67	ver12.2.5.195	
39	78	ver3.2.2	
14	23	ver1.7.0.670	2014.10.09
39	89	ver3.23.0.2	
34	34	ver6.0.450	2016.03.22
35	88	ver2.2.4	
42	68	ver5.4.3.920	2012.10.16
27	53	ver10.1.16	2016.09.07
61	102	ver16.04.00.0	2016.11.05
61	23	ver8.0.450.14	2015.06.25
52	5	ver0.53.00.00	2015.06.25
23	22	ver4.5.7.6282	2016.08.24
55	67	ver12.2.5.195	
39	46	ver24.0.0.186	
20	38	ver4	2014.03.18
73	42	ver2.3.2	2016.08.20
73	83	ver3.9.141.259	
15	103	ver12.3.5	2016.08.19
25	1	ver23.0.0.257	2016.11.23
44	1	ver24.0.0.180	2016.12.14
8	36	ver1.2.4.10	2015.02.15
34	60	ver0.91	2015.02.08
59	63	ver50.0.2	
13	81	ver2.36	2016.05.17
37	1	ver23.0.0.257	2016.09.14
22	64	ver42.0.2393.85	
54	1	ver23.0.0.257	2016.09.14
58	34	ver8.0.1120.15	2016.11.07
14	64	ver41.0.2353.46	
73	89	ver3.23.0.2	
67	88	ver2.2.4	
59	103	ver12.7.0	2016.12.13
39	36	ver1.1.9.13	2014.08.16
55	36	ver1.2.6.7	2015.08.23
14	34	ver7.0.670	2014.10.09
35	39	ver0.67	2016.04.03
8	70	ver5.1.41212.0	2016.01.15
1	46	ver23.0.0.207	
53	12	ver15.010.20060	2016.04.03
66	97	ver2.8.18	2016.08.25
32	11	ver4.94	
11	56	ver2.0.0.372	
48	62	ver7.28.101	2016.09.24
31	48	ver1.32.4066.7445	2016.12.12
39	54	ver1.4.1	
22	34	ver6.0.310	2012.04.16
47	36	ver1.2.6.7	2015.07.24
67	64	ver42.0.2393.85	
43	7	ver2.2.1	
40	28	ver6.9.2	
25	63	ver50.0	
61	83	ver3.9.141.259	
15	64	ver42.0.2393.85	
56	102	ver16.04	
1	57	ver5.1.5.2	2016.09.22
73	21	ver24.0.0.186	
40	22	ver4.5.7.6321	2016.09.18
73	30	ver2.1.2	2016.04.23
15	29	ver1.4.20	2016.04.24
66	74	ver4.0.9	2016.05.01
51	76	ver3.0	
11	86	ver2.5.8.0	2016.11.04
34	38	ver4	2011.11.27
76	34	ver8.0.1120.15	2016.11.06
62	70	ver5.1.50901.0	2016.10.12
17	76	ver3.0	
65	103	ver12.3.5	2016.09.08
17	27	ver6.7.0	2011.08.09
29	67	ver12.2.5.195	
45	22	ver4.5.7.6452	2016.12.02
70	42	ver2.4.1	2016.12.05
17	69	ver16.4.3528.0331	2016.09.08
48	24	ver24.0.0.186	
29	23	ver1.7.0.210	2013.05.20
67	46	ver24.0.0.186	
23	29	ver1.4.20	2016.04.27
76	34	ver7.0.800	2016.03.22
20	14	ver2.14.0	2014.03.18
40	103	ver12.3.5	2016.08.30
40	88	ver2.2.4	
63	24	ver23.0.0.207	
43	34	ver8.0.1110.14	2016.11.12
56	21	ver24.0.0.186	
69	84	ver10.7.144.0	2015.03.12
16	21	ver24.0.0.186	
14	30	ver2.0.6	2014.10.14
26	102	ver16.04.00.0	2016.11.22
32	22	ver4.5.7.6452	2016.12.05
58	42	ver2.4.1	2016.12.05
20	5		
45	75	ver5.9.3	2016.12.02
45	9	ver5.24	
9	22	ver4.5.7.6452	2016.12.05
67	87	ver55.0.2883.87	2016.12.13
60	9	ver5.24	
21	102	ver16.02	
62	34	ver8.0.1110.14	2016.10.21
33	7	ver2.2.1	
39	68	ver7.3.4.311	2016.04.25
16	42	ver2.4.1	2016.11.30
16	90	ver5.0.274.0	2016.09.11
63	28	ver7.2.1	
56	87	ver55.0.2883.87	2016.11.23
34	42	ver2.4.1	2016.12.05
76	67	ver12.2.5.195	
60	63	ver50.0	
54	14	ver2.14.0	2013.04.07
14	75	ver5.9.2	2016.09.21
35	9	ver5.24	
27	9	ver5.24	
76	12	ver15.020.20042	2016.11.06
41	81	ver2.36	2016.08.20
9	60	ver0.91	2015.02.09
8	17	ver1.22	
63	7	ver3.0.20.0	2016.11.24
71	97	ver2.8.18	2016.08.19
16	70	ver5.1.50901.0	2016.10.12
39	63	ver50.1.0	
9	87	ver55.0.2883.87	2016.12.07
47	51		2014.08.15
75	63	ver50.0.2	
23	76	ver3.0	
38	42	ver2.4.1	2016.11.23
10	72	ver2.0.103.0	2016.10.11
59	88	ver2.2.4	
56	103	ver12.6.0	2016.11.23
38	1	ver24.0.0.180	2016.12.15
30	70	ver5.1.50709.0	2016.09.14
54	70	ver5.1.50428.0	2016.06.23
14	48	ver1.32.3592.6117	2016.11.06
39	74	ver4.0.9	2016.04.25
32	53	ver11.0.18	2016.11.03
52	102	ver16.04	
57	46	ver24.0.0.186	
