id	huzasid	talalat	darab	ertek
770	891	4	1982	7165
771	824	5	59	245050
772	917	5	68	213740
773	750	7	1	25536092
774	970	4	2770	4715
775	599	7	1	14007784
776	484	4	1326	5541
777	724	7	2	6859415
778	1023	3	49288	1365
779	1115	4	2904	6600
780	794	7	1	29525700
781	1078	5	71	215375
782	711	4	2397	5095
783	473	7	2	3655417
784	648	6	2	58215411
785	313	7	2	3230442
786	1107	5	94	223520
787	387	7	1	26092790
788	1019	3	37034	1510
789	871	5	68	328930
790	331	6	1	80146238
791	891	3	36128	1375
792	616	4	4604	2556
793	469	4	4300	1843
794	1053	3	42344	1485
795	506	3	74484	707
796	999	3	47744	1130
797	349	5	42	160832
798	913	3	44133	1035
799	931	5	34	496100
800	699	7	4	2905780
801	402	3	43981	560
802	836	5	71	246715
803	806	3	46446	1190
804	538	7	1	9335458
805	1043	5	43	549005
806	310	7	2	3256005
807	380	4	2755	3159
808	359	5	48	153865
809	875	3	43053	1370
810	832	3	48441	1160
811	388	7	2	4030368
812	884	3	53047	1045
813	791	4	3502	3951
814	520	5	40	233594
815	429	5	28	219205
816	546	3	49811	722
817	620	7	4	2715464
818	666	4	2785	4052
819	613	4	2025	5837
820	560	4	2380	4240
821	375	5	52	150325
822	810	5	55	343373
823	359	4	2588	2852
824	599	4	2636	5314
825	442	5	44	154726
826	515	5	54	196926
827	877	5	80	214855
828	870	5	42	438330
830	792	5	34	424379
831	1123	4	2698	6430
832	923	5	104	138185
833	848	3	96859	970
834	376	4	2613	3071
835	612	4	3777	3106
836	543	3	35149	888
837	529	5	196	66200
838	480	3	50851	590
839	777	5	69	314955
840	668	4	2541	4525
841	606	4	4480	2801
842	707	7	3	8426336
843	738	3	41693	1096
844	809	4	2411	6086
845	412	3	39844	591
846	605	6	1	148999284
847	371	3	41290	625
848	1018	4	2435	5905
849	977	4	1251	11340
850	595	5	44	290659
851	960	6	1	115205185
852	344	5	84	103374
854	978	4	1541	9160
855	1130	5	49	303320
856	783	6	3	683333334
857	348	6	2	36092040
858	581	7	1	11083327
859	580	5	114	113005
860	592	7	1	11709133
861	590	5	55	209061
862	920	3	41854	1060
863	652	5	114	99586
864	829	4	2304	6125
865	449	5	100	71730
866	1004	3	39215	1310
868	322	3	40975	490
869	683	7	1	13674704
870	311	7	1	6420615
871	516	3	41896	779
872	646	3	42539	897
873	949	5	38	467845
874	1048	3	35638	1755
875	662	5	60	206569
876	647	5	81	136313
877	844	5	67	367590
878	456	7	2	3282866
879	646	7	2	5453422
880	827	5	56	247550
881	948	4	4612	3610
882	794	5	47	307420
883	679	5	41	311842
884	658	5	18	618757
885	581	5	59	187853
886	985	4	2792	5200
887	838	3	46858	1430
888	786	5	31	483945
889	459	3	37011	653
890	517	5	129	73587
891	789	4	2802	5397
892	470	3	42794	650
893	951	4	2551	5330
894	533	4	3196	2885
895	401	3	63139	371
896	407	7	2	7169323
897	297	5	28	190206
898	795	4	6485	2264
899	383	3	54279	553
900	1039	3	40557	1595
901	1126	5	24	628385
902	932	5	47	346850
903	637	3	36112	1053
904	832	5	35	459380
905	428	4	2662	2441
906	345	4	5251	1827
907	995	4	3085	4550
908	697	5	87	142789
909	484	5	28	262396
910	437	6	1	169196116
911	499	3	40408	857
912	905	3	46375	1075
913	884	5	41	385680
914	892	3	38875	1320
916	473	5	15	487389
917	627	7	1	11200685
919	581	3	43706	888
920	556	6	1	184844778
921	767	7	1	19608359
922	1017	4	2867	5470
923	433	5	28	223462
924	600	3	62613	815
925	956	5	22	673170
926	722	6	1	814673831
927	785	3	55381	1017
928	823	4	4915	3135
929	1113	4	1750	9655
930	304	5	71	113361
931	879	4	1892	7975
932	1093	4	2212	7510
934	843	5	126	183405
936	783	3	109780	989
937	974	4	2414	7610
938	712	7	1	12495773
939	604	7	1	43102897
940	451	3	61260	432
941	661	5	74	162824
942	889	5	37	391810
943	968	6	1	499043275
944	932	4	2446	6665
945	603	5	20	708508
946	785	5	50	321800
947	1030	3	46268	1105
948	447	4	3578	1856
949	412	5	34	197805
950	1064	5	29	629215
951	984	3	42310	1265
952	487	3	36514	704
953	352	5	59	121675
954	628	3	58190	813
955	911	5	70	231335
956	470	4	2541	3127
957	657	5	59	185814
958	372	4	2543	2859
959	360	3	68462	392
960	557	6	1	35705763
961	369	4	1673	4054
962	482	4	1933	3646
963	621	7	1	11055085
966	444	3	47602	498
967	459	5	26	265656
968	1077	6	1	282230625
969	633	5	82	135822
970	527	7	1	12576555
971	790	6	1	384808486
972	1023	5	88	218530
973	812	5	62	286812
974	418	5	37	167678
975	385	4	4132	2313
976	674	3	41040	1061
977	979	3	38690	1320
978	309	4	5047	1224
979	1018	5	59	243785
980	336	3	51102	445
981	367	5	34	217592
982	731	3	42905	1145
983	537	3	38822	870
984	320	4	3975	1440
985	1035	3	45540	1255
986	894	4	2050	6565
987	435	7	2	3731901
988	532	3	51697	624
989	432	3	33292	655
990	316	7	4	1853442
991	709	5	37	310456
993	482	7	2	3523972
994	863	4	2688	6410
995	1021	3	38140	1480
996	569	5	68	186698
997	826	3	57008	1020
998	475	5	17	440447
999	717	7	6	2771658
1000	692	3	46762	931
1001	1018	3	38501	1310
1002	1052	5	57	313370
1003	363	7	3	2888756
1004	893	6	1	403597120
1005	821	5	38	364355
1006	708	5	47	239003
1007	393	7	1	7702087
1008	1087	4	3192	5865
1009	907	4	2008	6920
1010	693	5	36	393464
1011	761	3	45681	1083
1012	467	7	2	13251921
1013	798	3	40329	1167
1014	626	4	2446	4251
1015	864	3	67247	835
1016	425	4	2465	2440
1017	1054	3	48964	1390
1018	1076	3	41644	1335
1019	300	5	52	126018
1020	694	4	1281	8581
1021	529	6	1	502053093
1022	728	3	49938	959
1023	1006	3	56204	1050
1024	831	3	49102	1095
1025	1074	4	2635	5505
1026	865	5	78	203050
1027	468	6	2	32386749
1029	899	4	2292	5880
1030	358	3	62323	448
1031	553	5	190	68280
1032	938	3	31130	1565
1033	422	3	58449	408
1034	681	4	1962	6684
1035	556	3	45896	1003
